BookId,Name,TotalWorks,TotalWords,TotalDays,LevelTag,ImgLink,Books
16792364604322104,千桦尽落,8,1035万,3568,白金,"https://facepic.qidian.com/qd_face/349573/a401044217/0",22191858701403204;21950364501844104;14450034905560004;9199042603510603;3733263003088801;25463411000467701;25457384000445301
20144613201324004,季下如瑶,2,88万,347,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2021-05-24/60ab983d433f5.jpeg",20008164501343104
11653675004256003,雪色水晶,5,415万,2232,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2018-11-05/5be001e55b01f.jpeg",16809737804753204;25448199000384901;2630136000104801;3606858804154901
9569809304067303,,,,,,,
13138512203205104,,,,,,,
10055726104646703,,,,,,,
5459112004198101,,,,,,,
11681184903685203,小柚子茶,7,483万,1846,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2021-12-14/842e0b4c2d269d64abcec11f43c07841oP6D834T2Wo2p4D.jpg",23140429909042704;21638836501986804;20182811201393604;18022368401796304;16257516605079004;14813154804983204
10867440203996703,,,,,,,
12173694803682303,,,,,,,
9959396403152003,Alice慕灵,2,296万,1243,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2018-09-12/5b98ba3ca09ad.jpeg",4697936403344901
13319461205305304,红尘斩,5,132万,1576,签约,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",23203322909185304;21942288508637804;20369376201854404;16454840705844504;15617981804117404
