Word,Frequency
苦,6
活得,1
坚韧,2
老谢,1
纪凛冬,2
感慨,3
缘分,3
弄人,1
缘深,1
情浅,1
缘浅,1
情深,1
无可,1
否认,4
苦衷,1
正,5
如厉,1
沉暮,1
出身,1
身居,1
高位,1
害死,3
受,9
高,11
退无可退,1
人格,3
分裂,1
性格,22
无常,1
懂,22
表达,6
不难,1
叶瑾然,1
厉娇,1
厉晟,1
阳,1
谢惊蛰,1
诸人,1
角色,14
崇拜顾,1
历经,3
千帆,1
寡淡如水,1
依然,3
如初,2
永恒,1
尤为,1
可贵,1
纸短情长,1
看透,1
遵从,1
有滋有味,1
成熟,3
闯,2
江湖,2
归来,2
少年,8
模样,1
历沉暮,1
迦叶,1
谢少,2
温楚,1
纪凛,1
冬,1
合体,1
😡😡,1
😡,1
集美们,2
屏蔽,5
删减,1
第十八,3
改成,4
校园,5
介意,2
主,7
救赎,3
避雷,3
初恋,5
未,12
表白,2
短,6
暗恋,5
女朋友,4
双洁,5
对象,5
默默,5
弃坑,6
结束,12
回忆,14
第九十六,1
雪花,1
飘落,1
依旧,11
一百零五章,1
备注,3
灌水,1
意义,2
跳过,1
保证,4
连贯,2
写完,10
标题,6
标注,1
适合,5
跳,6
人生,13
完整,3
四十一,1
二万,1
HE,4
写作,6
过程,2
BE,1
可能性,2
BE版,2
结章,1
承接,1
结尾,5
版本,4
所想,3
攒到,1
申请,7
拖沓,4
原因,11
第二十五,1
作家,5
习惯性,2
细,1
习惯,7
强迫症,3
日积月累,1
夕间,1
改变,7
长久,2
积攒,1
拖,1
吐槽,6
微笑,6
后话,1
There,1
are,1
a,2
thous,2
and,2
Hamlets,1
people's,1
eyes,1
一千,3
哈姆雷特,1
码到,1
三四点,1
骂,10
脑,2
码文,4
白天,5
不码,1
声明,3
全职,2
爱好,2
癖好,1
深夜,2
熄灯,1
音乐,2
躺,3
床,2
手机,5
天文,1
甜虐,1
程度,3
歌是,1
甜歌,1
伤感,2
歌,5
降临,1
灵感,1
充沛,1
补充,3
放到,1
评论区,9
不全,1
资本家,1
白切,1
什么的,7
搞事型,1
莫名其妙,2
花痴,3
形象,8
现代人,2
聪明,2
干练,1
原主,3
怨念,1
犹,1
公子,4
恩怨,2
纠缠,1
八辈子,1
欢喜,3
差点,8
控制,4
16,3
7岁,1
男孩,1
纸,1
渐渐,1
好感,2
赵皇,1
碰,3
一波三折,1
这位,3
幸拜,1
初中生,1
花,12
周,4
饭钱,1
记,4
文里,1
评分,2
特地,1
买,13
册,1
初中,2
难忘,2
报考,1
中医,2
学校,1
学针,1
推,3
这不,5
太太,6
算,12
缘,3
兜兜,3
转转,3
找到,12
万千,2
毕生,1
相遇,6
哈喽,1
柚子,4
甜文,2
老肖,2
荞荞,2
典型,1
两面派,1
嘴,2
嫌弃,4
要命,2
我家,2
敲,4
软萌,1
温柔,10
炸鸡,1
Beer,1
双击,1
篇文,3
下班,2
回家,7
累,3
抄袭,4
拿出,3
证据,7
想到,11
大神,3
明星,2
闭嘴,2
选项,1
短文,2
在知乎,1
残寒兴,1
I'm,1
oJ,1
iIiluuXuuyyyyyyyyyyYyyyyYy,1
随手,2
小品,1
虐文,5
甜宠,5
够,5
地虐,1
讲,7
养成,3
系,2
倩倩,1
老魏,3
过关斩将,2
走上,2
美好,13
花路,2
护妻,1
帅气,1
误会,5
忽略,1
迟钝,1
哈哈哈哈哈哈,2
包括,5
一刀切,1
安全感,2
碎碎念,2
～(,3
o^,1
^o),1
刚刚,6
宠文,3
狗,14
血误,1
血失,1
忆梗,1
类似,4
变强,1
脸虐,1
中午,1
12点05分,3
18点05分,2
如题,1
固定,3
15点05分,1
每日,4
童鞋,2
留点,1
红豆,9
推荐票,1
司司,4
五星,2
好评,3
拜托,5
加更,8
推荐,11
章评,1
疑惑,1
南,1
配角,4
滴,2
滴滴,1
七点,1
准时,4
提前,4
告知,2
上架,22
24点,1
主好,4
满脑子,1
厉,1
大哥抢,1
老婆,2
龙王,2
阿醒,1
醒,1
翩翩,1
天生,4
好听,1
情话,5
初生牛犊不怕虎,1
执着,2
青梅竹马,3
仗剑,1
天涯,2
酆一量,1
死不悔改,1
一言不合,2
毒舌,1
霸道,9
狂风,1
暴雨,1
有生之年,1
独宠,1
同生共死,1
一如,2
绝恋,1
感言,1
虎牙呦们,1
一如既往,3
小可爱们,9
留言,7
评论,33
22,5
撒些,1
红豆子,1
感激不尽,1
宝贝们,8
虎牙呦,1
留下,6
尽力,1
摸,2
摸头,1
美♥,1
😭😭,4
仓促,3
遗憾,10
写下,1
完善,1
前边,1
粗糙,2
白灵,1
无语无语,1
短篇,1
巧克力,1
微博,10
冒个,2
泡,3
仪式感,1
开书,2
老祖宗,4
偏爱,6
礼袋,5
计划,3
十五,1
值钱,1
玩意儿,1
一点点,10
织条,1
